title,director,cast,country,duration
Malibu Rescue: The Next Wave,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",United States,71 min
Malibu Rescue: The Series,,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeremy Howard, JT Neal, Bryana Salaz, Ian Ziering, Camaron Engels",United States,1 Season
Malicious,Michael Winnick,"Bojana Novakovic, Josh Stewart, Delroy Lindo, Melissa Bolona, Yvette Yates, Luke Edwards, Jaqueline Fleming, Ben VanderMey, Presley Richardson, Joy Kate Lawson",United States,91 min
Mallesham,Raj R,"Jhansi, Priyadarshi Pullikonda, Ananya Nagalla",India,131 min
Mama's Boy,Amro Salah,"Hesham Maged, Shikoo, Mohammed Tharwat, Mahmoud Ellisy, Ahmed Sultan, Noor Kadri",Egypt,101 min
Man Down,,"Greg Davies, Roisin Conaty, Jeany Spark, Gwyneth Powell, Isy Suttie, Michael Wozniak, Elliot Levey, Ruth Bratt, Deirdre Mullins, Steven Berkoff, Stella Gonet, Rik Mayall, Ashley McGuire, Stephanie Cole",United Kingdom,4 Seasons
Man Like Mobeen,,,United Kingdom,3 Seasons
Man of Tai Chi,Keanu Reeves,"Keanu Reeves, Tiger Chen, Karen Mok, Simon Yam, Qing Ye, Hai Yu, Sam Lee, Iko Uwais","United States, China, Hong Kong",105 min
Man to Man,Chang-Min Lee,"Hae-Jin Park, Sung-woong Park, Min-jung Kim, Jung-an Chae, Jung-hoon Yeon, Hyun-sung Jang, Man-sik Jung, Shin-il Kang, Ho-jin Chun, In-ho Tae",South Korea,1 Season
Man Up,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge","United Kingdom, France",88 min
Man vs Wild with Sunny Leone,,"Bear Grylls, Sunny Leone",,1 Season
Man with a Plan,,"Matt LeBlanc, Liza Snyder, Grace Kaufman, Matthew McCann, Hala Finley, Matt Cook, Jessica Chaffin",United States,4 Seasons
Mandi,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Mazumdar, Neena Gupta",India,155 min
Mandobasar Galpo,Tathagata Banerjee,"Paoli Dam, Parambrata Chattopadhyay, Indrasish Roy, Koushik Sen, Biswajit Chakraborty",India,103 min
Manglehorn,David Gordon Green,"Al Pacino, Holly Hunter, Harmony Korine, Chris Messina, Skylar Gasper, Brian D. Mays, Herculano Trevino, Angela Woods",United States,97 min
Mango Dreams,John Upchurch,"Ram Gopal Bajaj, Pankaj Tripathi, Sameer Kochhar",United States,92 min
Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,98 min
Manhunt,John Woo,"Zhang Hanyu, Masaharu Fukuyama, Qi Wei, Ji-won Ha, Jun Kunimura, Angeles Woo, Nanami Sakuraba","China, Hong Kong",109 min
Manhunt: Deadly Games,,"Cameron Britton, Jack Huston, Judith Light, Carla Gugino, Gethin Anthony, Kelly Jenrette, Arliss Howard, Jay O. Sanders, Nick Searcy, Marley Shelton, Becky Ann Baker, Brad William Henke",,1 Season
Maniac,,"Emma Stone, Jonah Hill, Justin Theroux, Sally Field, Gabriel Byrne, Sonoya Mizuno, Julia Garner, Billy Magnussen, Jemima Kirke",United States,1 Season
Maniyarayile Ashokan,Shamzu Zayba,"Jacob Gregory, S.V. Krishna Shankar, Shine Tom Chacko, Vijayaraghavan, Sri Lakshmi, Anupama Parameswaran, Dulquer Salmaan, Nazriya Fahad",India,110 min
Manje Bistre,Baljit Singh Deo,"Gippy Grewal, Sonam Bajwa, Karamjit Anmol, Jaggi Singh, B.N. Sharma, Hobby Dhaliwal, Rana Ranbir, Sardar Sohi, Anita Devgan, Harby Sangha",India,136 min
MANK,David Fincher,"Gary Oldman, Amanda Seyfried, Charles Dance, Lily Collins, Arliss Howard, Tom Pelphrey, Sam Troughton, Ferdinand Kingsley, Tuppence Middleton, Tom Burke, Joseph Cross, Jamie McShane, Toby Leonard Moore, Monika Gossmann",United States,133 min
Manmadhudu 2,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti",India,152 min
Mann,Indra Kumar,"Aamir Khan, Manisha Koirala, Sharmila Tagore, Dipti Bhatnagar, Dalip Tahil, Anil Kapoor",India,173 min
Manolo: The Boy Who Made Shoes for Lizards,Michael Roberts,"Manolo Blahnik, Anna Wintour, André Leon Talley, Paloma Picasso, Candace Bushnell, Iman, Rihanna, Naomi Campbell, Isaac Mizrahi, Rupert Everett, Sofia Coppola, John Galliano",United Kingdom,89 min
Manorama Six Feet Under,Navdeep Singh,"Abhay Deol, Gul Panag, Raima Sen, Sarika, Kulbhushan Kharbanda, Vinay Pathak, Yana Gupta, Jogi, Brijendra Kala, Nawazuddin Siddiqui",India,129 min
Manoranjan,Shammi Kapoor,"Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali",India,162 min
Mansfield Park,Patricia Rozema,"Frances O'Connor, Embeth Davidtz, Jonny Lee Miller, Alessandro Nivola, Harold Pinter, Lindsay Duncan, Sheila Gish, James Purefoy, Victoria Hamilton, Hugh Bonneville",United Kingdom,112 min
Manson Family Vacation,J. Davis,"Jay Duplass, Linas Phillips, Leonora Pitts, Adam Chernick, Davie-Blue, Suzanne Ford, Tobin Bell",United States,85 min
Manto,Nandita Das,"Nawazuddin Siddiqui, Rasika Dugal, Tahir Raj Bhasin",India,114 min
Mantostaan,Rahat Kazmi,"Raghuvir Yadav, Veerendra Saxena, Sonal Sehgal, Aaditya Pratap Singh, Rahat Kazmi, Raina Bassnet, Sakshi Bhat",India,75 min
Mantra,Nicholas Kharkongor,"Rajat Kapoor, Lushin Dubey, Kalki Koechlin, Shiv Pandit, Adil Hussain, Rohan Joshi, Yuri Suri, Maya Krishna Rao",India,89 min
Manu,Phanindra Narsetti,"Raja Goutham, Chandini Chowdary, Bomma Sreedhar, John Kottoly, Srikanth Mullagiri, Ravi Teja",India,177 min
Manusangada,Amshan Kumar,"Rajeev Anand, Manimegalai, A.S. Sasi Kumar, Vidhur Rajarajan, Sheela Rajkumar, Sethu Darwin, Anand Sampath, Karuna Prasad",India,93 min
Maps to the Stars,David Cronenberg,"Julianne Moore, Mia Wasikowska, Robert Pattinson, John Cusack, Olivia Williams, Sarah Gadon, Evan Bird, Niamh Wilson, Dawn Greenhalgh","Canada, Germany, France, United States",112 min
Mar de Plástico,,"Rodolfo Sancho, Belén López, Pedro Casablanc, Luis Fernández, Patrick Criado, Nya de la Rubia, Jesús Castro, Fernando Cayo",Spain,2 Seasons
Mara,Clive Tonge,"Olga Kurylenko, Javier Botet, Mitch Eakins, Lance E. Nichols, Rosie Fellner, Mackenzie Imsand, Dandy Barrett, Craig Conway, Melissa Bolona",United Kingdom,99 min
Maradona in Mexico,,Diego Armando Maradona,"Argentina, United States, Mexico",1 Season
Marauders,Steven C. Miller,"Bruce Willis, Christopher Meloni, Dave Bautista, Adrian Grenier, Johnathon Schaech, Lydia Hull, Tyler Jon Olson, Christopher Rob Bowen, Richie Chance","Canada, United States",107 min
Marc Maron: End Times Fun,Lynn Shelton,Marc Maron,United States,71 min
Marc Maron: Thinky Pain,Lance Bangs,Marc Maron,United States,95 min
Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,70 min
Marcella,,"Anna Friel, Nicholas Pinnock, Sinéad Cusack, Nina Sosanya, Harry Lloyd, Laura Carmichael, Maeve Dermody, Ray Panthaki, Ian Puleston-Davies, Patrick Baladi, Florence Pugh, Jamie Bamber, Charlie Covell, Andrew Lancel, Jack Doolan, Tobias Santelmann, Stephen Lord, Ben Cura, Imogen Faires",United Kingdom,3 Seasons
March Comes in Like a Lion,,"Kengo Kawanishi, Ai Kayano, Kana Hanazawa, Misaki Kuno, Nobuhiko Okamoto, Marina Inoue, Yoshimasa Hosoya, Shinichiro Miki, Tomokazu Sugita, Subaru Kimura, Shigeru Chiba, Toru Okawa, Takahiro Sakurai",Japan,2 Seasons
Marching Orders,,,United States,1 Season
Marco Luque: Tamo Junto,Caio Cobra,Marco Luque,Brazil,73 min
Marco Polo,,"Lorenzo Richelmy, Benedict Wong, Chin Han, Joan Chen, Michelle Yeoh, Rick Yune, Claudia Kim, Remy Hii, Zhu Zhu, Tom Wu, Mahesh Jadu, Olivia Cheng, Uli Latukefu, Pierfrancesco Favino, Jacqueline Chan, Leonard Wu, Gabriel Byrne",United States,2 Seasons
Marco Polo: One Hundred Eyes,Alik Sakharov,"Tom Wu, Benedict Wong, Michelle Yeoh",United States,29 min
Maria,Pedring A. Lopez,"Cristine Reyes, Germaine De Leon, KC Montero, Ronnie Lazaro, Freddie Webb",Philippines,90 min
Maria Bamford: Old Baby,Jessica Yu,Maria Bamford,United States,64 min
Maria Bamford: The Special Special Special,Jordan Brady,"Maria Bamford, Wayne Federman, Jackie Kashian",United States,50 min
Mariah Carey's Merriest Christmas,James Yukich,"Mariah Carey, Lacey Chabert, Kelsey Grammer, Billy Gardell, Fina Strazza, Kenneth Edmonds, Cameron Mathison, Brennan Elliott",United States,38 min
Marianne,,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,1 Season
"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio",,"Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk",,69 min
Mark Gatiss: A Study in Sherlock,Nathan Landeg,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Steven Moffat",,29 min
Marlon,,"Marlon Wayans, Essence Atkins, Bresha Webb, Diallo Riddle, Notlim Taylor, Amir O'Neil",United States,2 Seasons
Marlon Wayans: Woke-ish,Marcus Raboy,Marlon Wayans,United States,67 min
Maron,,"Marc Maron, Judd Hirsch, Josh Brener, Nora Zehetner, Andy Kindler",United States,4 Seasons
Maroon,Pulkit,"Manav Kaul, Devyani Cm, Saurabh Sachdeva, Sarika Singh, Suneel Sinha, Sumeet Vyas",India,94 min
Marriage Palace,Sunil Thakur,"Sharry Mann, Payal Rajput, Jaswinder Bhalla, B.N. Sharma, Harby Sangha, Nirmal Rishi, Anita Devgan, Rupinder Roopi",India,135 min
Marriage Story,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever, Azhy Robertson","United Kingdom, United States",137 min
Married at First Sight,,"Viviana Coles, Calvin Roberson, Pepper Schwartz",United States,1 Season
Mars,Everardo Gout,"Jihae, Alberto Ammann, Clémentine Poidatz, Anamaria Marinca, Sammi Rotibi, Nicholas Wittman, Cosima Shaw",United States,2 Seasons
Marseille,,"Gérard Depardieu, Benoît Magimel, Géraldine Pailhas, Nadia Farès, Stéphane Caillard, Jean-René Privat, Pascal Elso, Gérard Meylan",France,2 Seasons
Martial Arts of Shaolin,Chia-Liang Liu,"Jet Li, Jianqiang Hu, Qiuyan Huang, Qingfu Pan, Yu Chenghui, Yu Hai, Jianwen Zhang","Hong Kong, China",90 min
Martin Lawrence Live: Runteldat,David Raynr,Martin Lawrence,United States,104 min
Martin Luther: The Idea that Changed the World,David Batty,Hugh Bonneville,United States,55 min
"Martin Matte: La vie, la mort...eh la la..!",Jean-François Blais,Martin Matte,Canada,62 min
Martyrs of Marriage,Deepika Narayan Bhardwaj,,India,83 min
Marvel & ESPN Films Present: 1 of 1: Genesis,Eric Drath,"Manny Pacquiao, Michael Smith, Tony Hawk, Esther Howard, Alex Morgan, Danica Patrick, Russell Wilson, Carmelo Anthony, Dwight Howard, Joe Quesada, Albert Pujols, Brandi Chastain, Cal Ripken Jr.",,77 min
Marvel Anime: Wolverine,,"Rikiya Koyama, Romi Park, Fumiko Orikasa, Hidekatsu Shibata, Kazuki Yao, Masato Hagiwara","United States, Japan",1 Season
Marvel Anime: X-Men,,"Toshiyuki Morikawa, Rikiya Koyama, Katsunosuke Hori, Aya Hisakawa, Kaori Yamagata, Yoshiko Sakakibara, Yurika Hino, Yukari Tamura, Hideyuki Tanaka",Japan,1 Season
Marvel Super Hero Adventures: Frost Fight!,Mitch Schauer,"Mick Wingert, Matthew Mercer, Travis Willingham, Fred Tatasciore, Grey DeLisle, Troy Baker, Antony Del Rio, Trevor Devall, Kevin Michael Richardson, Steve Blum, Jane Singer",United States,74 min
Marvel's Agents of S.H.I.E.L.D.,,"Clark Gregg, Ming-Na Wen, Brett Dalton, Chloe Bennet, Iain De Caestecker, Elizabeth Henstridge, Adrianne Palicki, Luke Mitchell, Henry Simmons",United States,7 Seasons
Marvel's Daredevil,,"Charlie Cox, Deborah Ann Woll, Elden Henson, Rosario Dawson, Vincent D'Onofrio, Jon Bernthal, Elodie Yung, Scott Glenn, Stephen Rider, Vondie Curtis-Hall, Ayelet Zurer, Toby Leonard Moore, Bob Gunton",United States,3 Seasons
Marvel's Hulk: Where Monsters Dwell,Mitch Schauer,"Fred Tatasciore, Liam O'Brien, Jesse Burch, Edward Bosco, Chiara Zanni, Mike Vaughn, Jon Olson, Matthew Waterson, Zach Callison, Laura Bailey, Hope Levy",United States,75 min
Marvel's Iron Fist,,"Finn Jones, Jessica Henwick, David Wenham, Jessica Stroup, Tom Pelphrey",United States,2 Seasons
Marvel's Iron Man & Hulk: Heroes United,"Leo Riley, Eric Radomski","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes, David Kaye",United States,72 min
Marvel's Jessica Jones,,"Krysten Ritter, David Tennant, Rachael Taylor, Mike Colter, Carrie-Anne Moss, Eka Darville, Erin Moriarty, Wil Traval, Susie Abromeit",United States,3 Seasons
Marvel's Luke Cage,,"Mike Colter, Alfre Woodard, Rosario Dawson, Simone Missick, Mahershala Ali, Erik LaRay Harvey, Theo Rossi, Frank Whaley, Frankie Faison, Sonia Braga, Ron Cephas Jones",United States,2 Seasons
Marvel's The Defenders,,"Charlie Cox, Krysten Ritter, Mike Colter, Finn Jones, Sigourney Weaver, Elodie Yung, Elden Henson, Jessica Henwick, Simone Missick, Rachael Taylor, Deborah Ann Woll, Rosario Dawson, Carrie-Anne Moss, Eka Darville, Scott Glenn",United States,1 Season
Marvel's The Punisher,,"Jon Bernthal, Ebon Moss-Bachrach, Ben Barnes, Amber Rose Revah, Jason R. Moore, Daniel Webber, Jaime Ray Newman, Michael Nathanson, Deborah Ann Woll, Paul Schulze",United States,2 Seasons
Mary and the Witch's Flower,Hiromasa Yonebayashi,"Ruby Barnhill, Kate Winslet, Jim Broadbent, Ewen Bremner, Lynda Baron, Louis Ashbourne Serkis, Morwenna Banks, Teresa Gallagher, Rasmus Hardiker",Japan,103 min
Mary Kom,Omung Kumar,"Priyanka Chopra, Darshan Kumar, Sunil Thapa, Kenny Basumatary, Shishir Sharma, Robin Das, Rajni Basumatary, Lin Laishram, Shakti Singh",India,120 min
Mary Poppins Returns,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Pixie Davies, Nathanael Saleh, Joel Dawson, Julie Walters, Meryl Streep, Colin Firth, Dick Van Dyke","United States, United Kingdom",131 min
Mary Portas: Secret Shopper,,Mary Portas,United Kingdom,1 Season
Masaba Masaba,,"Masaba Gupta, Neena Gupta, Neil Bhoopalam, Rytasha Rathore, Smaran Sahu, Nayan Shukla, Pooja Bedi, Satyadeep Misra",India,1 Season
Masameer - The Movie,Malik Nejer,"Malik Nejer, Shahad Alahmari, Abdulaziz Almuzaini, Yousef Aldakheel",Saudi Arabia,100 min
Masameer Classics,,"Malik Nejer, Abdulaziz Alshehri",Saudi Arabia,4 Seasons
Mascots,Christopher Guest,"Carrie Aizley, Sarah Baker, Bob Balaban, Ed Begley Jr., Tom Bennett, Maria Blasucci, Jennifer Coolidge, Kerry Godliman, Matt Griesser, Christopher Guest, John Michael Higgins, Michael Hitchcock, Don Lake, Jane Lynch, Christopher Moynihan, Chris O'Dowd, Jim Piddock, Parker Posey, Harry Shearer, Fred Willard, Zach Woods, Susan Yeagley",United States,95 min
Masha and the Bear,,"Alina Kukushkina, Boris Kutnevich, Giselle Nieto, Elsie Fisher",Russia,4 Seasons
Masha's Spooky Stories,,,"United States, Russia",1 Season
Masha's Tales,,,,1 Season
Maska,Neeraj Udhwani,"Manisha Koirala, Prit Kamani, Shirley Setia, Nikita Dutta, Javed Jaffrey, Dhruv Lohumi",India,112 min
Masoom,Shekhar Kapur,"Shabana Azmi, Naseeruddin Shah, Saeed Jaffrey, Jugal Hansraj, Urmila Matondkar, Aradhana Srivastav, Tanuja, Supriya Pathak",India,138 min
Master,Ui-seok Jo,"Byung-hun Lee, Dong-won Gang, Woo-bin Kim, Ji-won Uhm, Dal-su Oh, Kyung Jin, Gang Dong-won",South Korea,143 min
Master of None,,"Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale",United States,2 Seasons
Master Z: The Ip Man Legacy,Yuen Woo-ping,"Zhang Jin, Dave Bautista, Michelle Yeoh, Tony Jaa, Liu Yan, Kevin Cheng, Chrissie Chow, Xing Yu","Hong Kong, China",108 min
Match,Obaid Alhmoudi,"Mahmood Bin Shamsan, Waleed Alyasi, Sawsan Saad",,91 min
Mater,Pablo D'Alo Abba,"Lautaro Perotti, Tamara Kiper, Inda Lavalle, Miriam Odorico, Araceli Dvoskin, Gonzalo Ruiz, Patricio Aranguren, Marina Bellati, Luciana Fuks, Martin Slipak",Argentina,80 min
Material,Craig Freimond,"Vincent Ebrahim, Riaad Moosa, Joey Rasdien, Denise Newman, Krijay Govender, Nik Rabinowitz, Zakeeya Patel, Carishma Basday, Royston Stoffels, Mel Miller",South Africa,94 min
Matichya Chuli,"Sudesh Manjrekar, Atul Kale","Sudhir Joshi, Vandana Gupte, Ankush Chaudhari, Madhura Velankar, Sanjay Mone, Anand Abhyankar",India,132 min
Mau Nieto: Viviendo sobrio… desde el bar,,Mau Nieto,Mexico,57 min
Mauli,Aditya Sarpotdar,"Riteish Deshmukh, Saiyami Kher, Jitendra Joshi, Siddarth Jadhav, Shrikant Yadav, Vijay Nikam, Umesh Jagtap, Usha Naik, Girija Oak, Genelia D'Souza",India,136 min
Maurício Meirelles: Generating Chaos,Diego Pignataro,Maurício Meirelles,Brazil,63 min
Max Rose,Daniel Noah,"Jerry Lewis, Kerry Bishé, Illeana Douglas, Rance Howard, Kevin Pollak, Mort Sahl, Dean Stockwell, Lee Weaver, Claire Bloom",United States,84 min
May the Devil Take You,Timo Tjahjanto,"Chelsea Islan, Pevita Pearce, Samo Rafael, Karina Suwandhi, Ray Sahetapy, Ruth Marini, Hadijah Shahab, Clara Bernadeth, Kinaryosih, Nicole Rossi",Indonesia,111 min
May We Chat,Philip Yung,"Irene Wan, Peter Mak, Rainky Wai, Heidi Lee, Kabby Hui, Paulyn Sun, Dominic Ho, Au Cheuk-Man",Hong Kong,99 min
May You Prosper,"Hassan Hegazy, Shady Ali","Ahmed Rizk, Bosy, Bayoumi Fouad, Mahmoud Ellithy, Hayatem, Hesham Ismail, Tamer Shaltout, Alaa Morsy",Egypt,93 min
Maya Angelou: And Still I Rise,"Bob Hercules, Rita Coburn Whack","Maya Angelou, Cicely Tyson, Common, John Singleton, Alfre Woodard, Oprah Winfrey, Quincy Jones",United States,114 min
Maya Memsaab,Ketan Mehta,"Deepa Sahi, Farooq Shaikh, Raj Babbar, Shah Rukh Khan, Shreeram Lagoo, Sudha Shivpuri, Paresh Rawal, Raghuvir Yadav, Satyadev Dubey","France, United Kingdom, India",122 min
Mayday Life,Muh Chen,"Mayday, Huang Bo, Tony Leung Ka-fai","China, Taiwan",120 min
Maynard,Samuel D. Pollard,,United States,100 min
Maz Jobrani: Immigrant,Maz Jobrani,Maz Jobrani,,67 min
Maza Pati Karodpati,Sachin,"Sachin, Supriya Pilgaonkar, Ashok Saraf, Kishori Shahane, Suhas Bhalekar, Manchindra Kamble, Jairam Kulkarni, Nilu Phule, Shubha Khote",India,132 min
Me and the Alien,Jesús Magaña Vázquez,"Ines De Tavira, Juan Pablo Campa, Paco de la Fuente, Juan Ugarte, Carlos Aragón, Gloria Toba, Jessy Bulbo, Tato Alexander, Fabiola Guajardo, Arturo Carmona",Mexico,83 min
Mea Culpa,"Raúl Campos, Jan Suter",Alexis de Anda,Mexico,54 min
Mean Dreams,Nathan Morlando,"Bill Paxton, Sophie Nélisse, Josh Wiggins, Colm Feore, Vickie Papavs, Joe Cobden, Ryan Blakely, George Buza",Canada,105 min
Mean Girls 2,Melanie Mayron,"Meaghan Martin, Maiara Walsh, Jennifer Stone, Nicole Gale Anderson, Claire Holt, Diego Boneta, Linden Ashby, Rhoda Griffis, Mike Pniewski, Patrick Johnson, Tim Meadows",United States,98 min
Mean Streets,Martin Scorsese,"Robert De Niro, Harvey Keitel, David Proval, Amy Robinson, Richard Romanus, Cesare Danova, Victor Argo, George Memmoli",United States,112 min
MeatEater,,Steven Rinella,United States,3 Seasons
Medal of Honor,,"Oliver Hudson, Ben Schwartz, Paul Wesley, Aldis Hodge, Jonny Weston, Joseph Cross, Jake Abel, Derek Mio",United States,1 Season
Medical Police,,"Erinn Hayes, Rob Huebel, Malin Akerman, Rob Corddry, Lake Bell, Sarayu Blue, Ken Marino, Fred Melamed, Tom Wright, Jason Schwartzman, Eric Nenninger, Megan Le, Beth Dover, Zandy Hartig, Brian Huskey, Michael Cera",United States,1 Season
Medici: Masters of Florence,,"Richard Madden, Dustin Hoffman, Stuart Martin, Annabel Scholey","Italy, United Kingdom, France",3 Seasons
Meditation Park,Mina Shum,"Cheng Pei-pei, Tzi Ma, Sandra Oh, Don McKellar, Zak Santiago, Liane Balaban, Alannah Ong, Lillian Lim, Jemmy Chen",Canada,94 min
Medium,Jacek Koprowicz,"Władysław Kowalski, Michał Bajor, Jerzy Zelnik, Jerzy Stuhr, Grażyna Szapołowska, Jerzy Nowak, Ewa Dałkowska, Piotr Machalica, Zygmunt Zintel, Henryk Bista","Poland, West Germany",90 min
Meet the Adebanjos,,"Wale Ojo, Yetunde Oduwole, Andrea Aboagye, Daniel Davids, Moji Bamtefa, Jordan Coulson",United Kingdom,3 Seasons
Meet the In-Laws,Niyi Akinmolayan,"Adeniyi Johnson, Tina Mba, Dele Odule, Lilian Esoro, Amaechi Muonagor, Blessing Onwukwe, Dayo Amusa, Kenneth Okolie",Nigeria,75 min
Meet the Trumps: From Immigrant to President,"Paul Berczeller, Mark Radice",,United Kingdom,48 min
Mega Food,,,United Kingdom,1 Season
Megalobox,,"Yoshimasa Hosoya, Shiro Saito, Hiroki Yasumoto, Nanako Mori, Michiyo Murase, Hiroyuki Kinoshita",Japan,1 Season
MegaTruckers,,,Australia,1 Season
Meghnadbodh Rohoshyo,Anik Datta,"Barun Chanda, Sabyasachi Chakraborty",India,150 min
Mehandi Circus,Saravana Rajendran,"Madhampatti Rangaraj, Shweta Tripathi, Vela Ramamoorthy, Ankur Vikal, G. Marimuthu, Sunny Charles",India,126 min
Melle,Binu Ulahhannan,"Amith Chakalakkal, Thanuja Karthik, Joy Mathew, Joju George, Krishna Prabha, Ambika Mohan, P. Balachandran, Illikkett Namboothiri",India,110 min
Melodies of Life - Born This Way,,,,1 Season
Melvin Goes to Dinner,Bob Odenkirk,"Michael Blieden, Stephanie Courtney, Annabelle Gurwitch, Matt Price, David Cross, Maura Tierney, Kathleen Roll, Jack Black, Jenna Fischer, Fred Armisen",United States,84 min
Memoir of a Murderer,Shin-yeon Won,"Kyung-gu Seol, Nam-gil Kim, Seol-hyun Kim, Dal-su Oh, Seok-jeong Hwang, In-Gum Jung, Ki-jun Shin, Jin-young Jang, Rina Shin, Hye-yoon Kim",South Korea,118 min
Memories of a Teenager,Lucas Santa Ana,"Renato Quattordio, Malena Narvay, Thomás Lepera, Jerónimo Giocondo Bosia, Tomás Wicz, Tomás Raimondi, Majo Chicar, Agustina Cabo",Argentina,97 min
Memories of the Alhambra,,"Hyun Bin, Park Shin-hye, Park Hoon, Kim Yong-rim, Chanyeol, Lee Re, Lee Hak Joo, Lee Si-won, Kim Eui-sung",South Korea,1 Season
Memory Games,"Janet Tobias, Claus Wehlisch",,"Germany, United States, Sweden",86 min
Memory Love,,"Andy Chen, Mandy Wei, Jolin Chien, Mandy Tao, Kris Shen, Nylon Chen",,1 Season
Men in Black,Barry Sonnenfeld,"Tommy Lee Jones, Will Smith, Linda Fiorentino, Vincent D'Onofrio, Rip Torn, Tony Shalhoub, Siobhan Fallon Hogan, Mike Nussbaum, Jon Gries, Sergio Calderón",United States,98 min
